 ,Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,Source_Radius,FWHM_Mult,Source_Rad(base),Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_C3,rel_flux_err_T1,rel_flux_err_C2,rel_flux_err_C3,rel_flux_SNR_T1,rel_flux_SNR_C2,rel_flux_SNR_C3,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2,X(IJ)_C3,Y(IJ)_C3,X(FITS)_C3,Y(FITS)_C3,Source-Sky_C3,Source_Error_C3,Source_SNR_C3,Peak_C3,Mean_C3,Sky/Pixel_C3,Width_C3,X-Width_C3,Y-Width_C3,Angle_C3,Roundness_C3
68,vesta-0069r.fit,68,0,59293.63477,2459293.63477,NaN,NaN,NaN,1.127334,NaN,-20.417621,0.2,NaN,NaN,10.256434,1.6,12,40,60,18.349143,2.07138,0.48277,0.84342,0.225377,0.052528,21.755636,9.190751,9.190751,9041.828033,414.712026,929.557519,931.538016,930.057519,404.961984,165909.797411,500.630151,331.401929,19149,735.140719,238.404798,4.82397,4.640864,5.007076,85.81417,0.994129,1104.875417,849.876245,1105.375417,486.623755,6097.930522,300.787847,20.273194,861,260.97561,242.384358,5.379728,4.482141,6.277314,294.553318,0.754065,576.089479,1139.741648,576.589479,196.758352,2943.897511,285.504352,10.311218,560,234.865854,225.890556,4.345044,0.743666,7.946423,86.737501,-0.049203
69,vesta-0070r.fit,69,0,59293.640672,2459293.640672,NaN,NaN,NaN,1.120123,NaN,-19.977101,0.2,NaN,NaN,9.014117,1.6,12,40,60,19.167078,1.758316,0.568726,0.793699,0.160776,0.052003,24.149053,10.936411,10.936411,8879.656934,366.834613,931.151173,941.78944,931.651173,394.71056,170197.077844,483.824368,351.774506,23717,902.90625,238.073915,4.907426,5.040989,4.773862,30.855509,0.986827,1105.569334,854.082997,1106.069334,482.417003,5660.425837,266.139926,21.268608,1039,265.144531,243.033493,3.231702,4.829643,1.633762,352.221075,0.319608,576.535029,1143.919429,577.035029,192.580571,3219.231096,252.46222,12.751338,604,238.207031,225.63191,6.902828,7.030838,6.774818,34.139139,0.989964
70,vesta-0071r.fit,70,0,59293.640823,2459293.640823,NaN,NaN,NaN,1.119956,NaN,-20.417621,0.2,NaN,NaN,6.348654,1.6,12,40,60,18.229558,1.963396,0.509322,0.544104,0.134238,0.034822,33.503783,14.626256,14.626256,8907.559725,264.770385,930.67921,942.293116,931.17921,394.206884,162380.880146,439.802887,369.212856,20629,1517.15748,238.567873,4.857957,4.871087,4.844826,42.791062,0.995075,1105.031064,854.380792,1105.531064,482.119208,5901.697604,193.984431,30.423563,1128,290.370079,243.900019,3.611092,5.673756,1.548429,358.787778,0.25672,576.34842,1144.022529,576.84842,192.477471,3005.862121,180.203765,16.680351,680,250.220472,226.552267,2.423249,1.358883,3.487614,322.246197,-7.658983
71,vesta-0072r.fit,71,0,59293.640973,2459293.640973,NaN,NaN,NaN,1.119789,NaN,-20.417621,0.2,NaN,NaN,8.737308,1.6,12,40,60,17.754792,1.729407,0.578233,0.681333,0.145669,0.048705,26.058922,11.87216,11.87216,9239.917217,353.577115,930.819869,942.490099,931.319869,394.009901,164052.810566,472.656391,347.086835,21173,924.368201,237.954768,4.927163,4.788323,5.066002,286.465928,0.995499,1104.754685,854.604832,1105.254685,481.895168,5854.59733,256.245436,22.847616,1068,267.521186,242.713571,4.029665,3.863799,4.195531,301.42434,0.967567,576.078545,1144.426554,576.578545,192.073446,3385.319887,243.628924,13.895394,547,239.210084,224.986051,7.190289,7.259659,7.120918,323.407578,0.995552
72,vesta-0073r.fit,72,0,59293.641124,2459293.641124,NaN,NaN,NaN,1.119624,NaN,-20.417621,0.2,NaN,NaN,8.003133,1.6,12,40,60,18.22275,1.804475,0.554178,0.657468,0.144714,0.044444,27.716555,12.469227,12.469227,9102.895857,327.435549,931.115603,943.135849,931.615603,393.364151,165879.799963,464.943153,356.774369,17493,1050.607843,237.471569,4.886737,4.742794,5.03068,292.751552,0.992947,1105.162962,855.017144,1105.662962,481.482856,5857.048894,238.622524,24.545247,888,271.261084,242.408626,5.925749,5.264579,6.58692,296.711935,0.863189,576.921926,1144.737001,577.421926,191.762999,3245.846963,224.21715,14.476355,553,241.661692,225.513199,3.243572,3.098869,3.388275,312.47279,-0.021575
73,vesta-0074r.fit,73,0,59293.641274,2459293.641274,NaN,NaN,NaN,1.119459,NaN,-20.417621,0.2,NaN,NaN,9.519981,1.6,12,40,60,18.627276,1.788586,0.559101,0.801668,0.170592,0.053326,23.23564,10.484565,10.484565,9068.939379,389.414269,930.41573,943.708986,930.91573,392.791014,168929.635525,490.341155,344.514496,28770,825.818815,237.213814,4.664817,4.648436,4.681197,280.394523,0.999944,1104.488905,855.478119,1104.988905,481.021881,5816.775222,283.960919,20.484422,1107,261.74744,241.894965,6.295439,6.509649,6.081228,17.3259,0.993172,575.993306,1145.26089,576.493306,191.23911,3252.164157,266.476396,12.204324,681,236.381119,225.009916,5.946483,6.69188,5.201086,31.257828,0.713966
74,vesta-0075r.fit,74,0,59293.648497,2459293.648497,NaN,NaN,NaN,1.112508,NaN,-19.977101,0.2,NaN,NaN,9.640834,1.6,12,40,60,19.153706,1.955212,0.511453,0.844715,0.198681,0.051972,22.674761,9.84097,9.84097,8905.30259,391.894637,932.996083,957.326495,933.496083,379.173505,170569.550362,493.514495,345.62217,17761,821.171233,237.028937,5.161885,5.212489,5.11128,330.502944,0.998552,1105.936213,861.981502,1106.436213,474.518498,5891.88009,284.61452,20.701263,931,262.027211,241.986802,6.079001,5.115414,7.042587,296.802402,0.728357,576.904363,1151.641958,577.404363,184.858042,3013.4225,269.399297,11.18571,514,234.952218,224.6675,4.967859,4.013022,5.922696,72.539984,0.795594
75,vesta-0076r.fit,75,0,59293.648635,2459293.648635,NaN,NaN,NaN,1.112392,NaN,-19.977101,0.2,NaN,NaN,9.111466,1.6,12,40,60,17.560952,1.911694,0.523096,0.710486,0.176616,0.048327,24.716813,10.824009,10.824009,9175.518956,370.234329,931.431189,957.006363,931.931189,379.493637,161130.845326,476.141221,338.409779,15988,846.871212,236.527101,5.158582,5.319733,4.997432,8.467266,0.995743,1103.93747,861.127345,1104.43747,475.372655,6024.25425,268.36485,22.448,1021,265.157692,241.987484,4.39247,5.601188,3.183752,0.711145,0.738086,576.08368,1150.634313,576.58368,185.865687,3151.264706,255.056396,12.355168,611,236.954198,224.926471,6.022468,6.163078,5.881858,317.956765,0.794806
76,vesta-0077r.fit,76,0,59293.648786,2459293.648786,NaN,NaN,NaN,1.112268,NaN,-19.977101,0.2,NaN,NaN,8.448825,1.6,12,40,60,18.608194,1.945066,0.514121,0.717389,0.171478,0.045325,25.938781,11.342948,11.342948,8948.631874,344.062846,931.539006,957.431885,932.039006,379.068115,166517.880907,470.448522,353.955583,18977,986.918919,236.838374,4.925132,4.885539,4.964725,298.822886,0.999097,1104.185589,861.512021,1104.685589,474.987979,5910.115286,251.73691,23.477349,1130,267.798246,241.876687,4.464949,3.505603,5.424294,282.279234,0.796045,576.072711,1151.264328,576.572711,185.235672,3038.516588,234.537354,12.955363,552,238.594595,224.907583,6.138244,7.450405,4.826083,343.208905,0.75915
77,vesta-0078r.fit,77,0,59293.648936,2459293.648936,NaN,NaN,NaN,1.112144,NaN,-20.859981,0.2,NaN,NaN,8.337757,1.6,12,40,60,19.471153,1.993322,0.501675,0.75495,0.179555,0.04519,25.791328,11.101425,11.101425,8748.908418,338.347843,932.035542,957.72682,932.535542,378.77318,170351.337718,473.059038,360.105873,20758,1021.534562,236.505356,5.062831,5.007937,5.117724,299.29759,0.998269,1104.876012,861.797499,1105.376012,474.702501,5826.099373,245.663574,23.715764,829,268.364055,241.515671,4.323764,4.764666,3.882862,33.778517,0.720459,575.944342,1151.690843,576.444342,184.809157,2922.809045,232.655692,12.562809,554,237.922374,224.576214,4.57867,5.860691,3.29665,336.178358,0.405952
78,vesta-0079r.fit,78,0,59293.649075,2459293.649075,NaN,NaN,NaN,1.112031,NaN,-19.538348,0.2,NaN,NaN,8.508907,1.6,12,40,60,18.385955,1.634567,0.611783,0.696132,0.133252,0.049873,26.411595,12.266735,12.266735,9150.247839,345.488337,931.397124,958.435181,931.897124,378.064819,168236.047887,473.814506,355.067323,17182,974.434211,236.556808,5.232956,5.194664,5.271247,280.366234,0.999755,1104.1496,861.959216,1104.6496,474.540784,5677.097105,250.28351,22.682665,886,267.070796,241.950898,2.977972,2.031188,3.924756,56.13572,-1.321758,575.397264,1151.796964,575.897264,184.703036,3473.150734,238.160356,14.583245,617,240.176211,224.875988,7.206229,7.65426,6.758198,2.072836,0.984576
79,vesta-0080r.fit,79,0,59293.655591,2459293.655591,NaN,NaN,NaN,1.107465,NaN,-20.417621,0.2,NaN,NaN,7.467111,1.6,12,40,60,18.827801,2.027928,0.493114,0.645564,0.162316,0.039469,29.164878,12.493672,12.493672,8922.641183,304.96279,933.668064,970.321329,934.168064,366.178671,167993.710684,459.52505,365.581181,21658,1185.124294,236.007284,4.943867,4.863872,5.023862,274.698115,0.998925,1104.771079,867.960985,1105.271079,468.539015,5975.860286,222.212516,26.892546,997,275.988506,241.644481,4.135521,4.408204,3.862838,38.222349,0.686171,576.626852,1156.896096,577.126852,179.603904,2946.780897,208.863355,14.108654,564,241.777143,224.938395,3.981252,2.84837,5.114134,61.004131,-11.841571
